word,ipa,language_code,part_of_speech,lemma,image_url,card_count,pronunciation,definition,example_sentence,example_translation
thought,θɔːt,en,Verb,think,images/verbs/thought.png,3,THOUGHT,Definition of thought,No example available.,No translation available.
food,fuːd,en,Noun,food,images/nouns/food.png,3,FOOD,Definition of food,We ordered delicious food.,Pedimos comida deliciosa.
an,æn,en,Article,an,images/articles/an.png,5,AN,Definition of an,No example available.,No translation available.
teacher,ˈtiːʧər,en,Noun,teacher,images/nouns/teacher.png,3,TEACHER,Definition of teacher,The teacher explains the lesson.,El maestro explica la lección.
book,bʊk,en,Noun,book,images/nouns/book.png,3,BOOK,Definition of book,He borrowed a book from the library.,Él tomó prestado un libro de la biblioteca.
city,ˈsɪti,en,Noun,city,images/nouns/city.png,3,CITY,Definition of city,No example available.,No translation available.
book,bʊk,en,Noun,book,images/nouns/book.png,3,BOOK,Definition of book,He borrowed a book from the library.,Él tomó prestado un libro de la biblioteca.
garden,ˈgɑːrdən,en,Noun,garden,images/nouns/garden.png,3,GARDEN,Definition of garden,I watered the flowers in the garden.,Regué las flores en el jardín.
blue,bluː,en,Adjective,blue,images/adjectives/blue.png,2,BLUE,Definition of blue,No example available.,No translation available.
teacher,ˈtiːʧər,en,Noun,teacher,images/nouns/teacher.png,3,TEACHER,Definition of teacher,The teacher explains the lesson.,El maestro explica la lección.
city,ˈsɪti,en,Noun,city,images/nouns/city.png,3,CITY,Definition of city,No example available.,No translation available.
think,θɪŋk,en,Verb,think,images/verbs/think.png,3,THINK,Definition of think,No example available.,No translation available.
phone,foʊn,en,Noun,phone,images/nouns/phone.png,3,PHONE,Definition of phone,I need to charge my phone.,Necesito cargar mi teléfono.
teacher,ˈtiːʧər,en,Noun,teacher,images/nouns/teacher.png,3,TEACHER,Definition of teacher,The teacher explains the lesson.,El maestro explica la lección.
cat,kæt,en,Noun,cat,images/nouns/cat.png,3,CAT,Definition of cat,The cat is sleeping on the sofa.,El gato está durmiendo en el sofá.
played,pleɪd,en,Verb,play,images/verbs/played.png,3,PLAYED,Definition of played,No example available.,No translation available.
dog,dɒg,en,Noun,dog,images/nouns/dog.png,3,DOG,Definition of dog,The dog is playing in the park.,El perro está jugando en el parque.
green,griːn,en,Adjective,green,images/adjectives/green.png,2,GREEN,Definition of green,The leaves are green.,Las hojas son verdes.
writes,raɪts,en,Verb,write,images/verbs/writes.png,3,WRITES,Definition of writes,No example available.,No translation available.
city,ˈsɪti,en,Noun,city,images/nouns/city.png,3,CITY,Definition of city,No example available.,No translation available.
student,ˈstuːdənt,en,Noun,student,images/nouns/student.png,3,STUDENT,"A person who is studying at a school, college, or university.",The student completed their homework on time.,El estudiante completó su tarea a tiempo.
the,ðə,en,Article,the,images/articles/the.png,5,THE,Used to refer to a specific thing previously mentioned or known.,The dog barked loudly at the stranger.,El perro ladró fuerte al extraño.
garden,ˈgɑːrdən,en,Noun,garden,images/nouns/garden.png,3,GARDEN,Definition of garden,I watered the flowers in the garden.,Regué las flores en el jardín.
cat,kæt,en,Noun,cat,images/nouns/cat.png,3,CAT,Definition of cat,The cat is sleeping on the sofa.,El gato está durmiendo en el sofá.
food,fuːd,en,Noun,food,images/nouns/food.png,3,FOOD,Definition of food,We ordered delicious food.,Pedimos comida deliciosa.
